,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
9349,5138,Marie-Thrse Armentero (-Fuzzati),F,22.0,164.0,67.0,Switzerland,SUI,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Freestyle,
9435,5176,rds rnadttir,F,14.0,,,Iceland,ISL,1948 Summer,1948,Summer,London,Swimming,Swimming Women's 200 metres Breaststroke,
9488,5202,Eva Johanne Arndt-Riise,F,16.0,,,Denmark,DEN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 100 metres Freestyle,
9489,5202,Eva Johanne Arndt-Riise,F,16.0,,,Denmark,DEN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
9490,5202,Eva Johanne Arndt-Riise,F,28.0,,,Denmark,DEN,1948 Summer,1948,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
9522,5221,Elizabeth Emma Arnold,F,19.0,162.0,47.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 400 metres Freestyle,
9523,5221,Elizabeth Emma Arnold,F,19.0,162.0,47.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 800 metres Freestyle,
9552,5239,Isabelle Arnould,F,17.0,181.0,67.0,Belgium,BEL,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Freestyle,
9553,5239,Isabelle Arnould,F,17.0,181.0,67.0,Belgium,BEL,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 400 metres Freestyle,
9554,5239,Isabelle Arnould,F,17.0,181.0,67.0,Belgium,BEL,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 800 metres Freestyle,
9555,5239,Isabelle Arnould,F,17.0,181.0,67.0,Belgium,BEL,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Butterfly,
9556,5239,Isabelle Arnould,F,21.0,181.0,67.0,Belgium,BEL,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Freestyle,
9557,5239,Isabelle Arnould,F,21.0,181.0,67.0,Belgium,BEL,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 400 metres Freestyle,
9558,5239,Isabelle Arnould,F,21.0,181.0,67.0,Belgium,BEL,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 800 metres Freestyle,
9648,5291,Marcia Arriaga Larrinua,F,12.0,168.0,58.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 100 metres Freestyle,
9649,5291,Marcia Arriaga Larrinua,F,12.0,168.0,58.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 200 metres Freestyle,
9650,5291,Marcia Arriaga Larrinua,F,12.0,168.0,58.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
9651,5291,Marcia Arriaga Larrinua,F,16.0,168.0,58.0,Mexico,MEX,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Freestyle,
9652,5291,Marcia Arriaga Larrinua,F,16.0,168.0,58.0,Mexico,MEX,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Freestyle,
9653,5291,Marcia Arriaga Larrinua,F,16.0,168.0,58.0,Mexico,MEX,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
9654,5291,Marcia Arriaga Larrinua,F,16.0,168.0,58.0,Mexico,MEX,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
9722,5331,"Samantha ""Sam"" Arsenault (-Livingstone)",F,18.0,178.0,69.0,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
9737,5335,Heather Ann Arseth,F,18.0,170.0,60.0,Mauritius,MRI,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Freestyle,
9738,5335,Heather Ann Arseth,F,22.0,170.0,60.0,Mauritius,MRI,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Freestyle,
10013,5469,Noriko Asano,F,17.0,158.0,57.0,Japan,JPN,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Butterfly,
10014,5469,Noriko Asano,F,17.0,158.0,57.0,Japan,JPN,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Butterfly,
10122,5534,Melissa Ashby,F,18.0,168.0,64.0,Grenada,GRN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Breaststroke,
10189,5572,Diana Elizabeth Ashton,F,16.0,167.0,61.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Backstroke,
10190,5572,Diana Elizabeth Ashton,F,16.0,167.0,61.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Backstroke,
10197,5577,Jessica Ashwood,F,19.0,173.0,64.0,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 800 metres Freestyle,
10198,5577,Jessica Ashwood,F,23.0,173.0,64.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Freestyle,
10199,5577,Jessica Ashwood,F,23.0,173.0,64.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 800 metres Freestyle,
10200,5577,Jessica Ashwood,F,23.0,173.0,64.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
10236,5596,Gabriele Askamp,F,21.0,170.0,59.0,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Breaststroke,
10237,5596,Gabriele Askamp,F,21.0,170.0,59.0,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 200 metres Breaststroke,
10344,5667,Ophlie Aspord,F,21.0,174.0,62.0,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 10 kilometres Open Water,
10467,5721,Silvana Asturias Morel,F,15.0,154.0,55.0,Guatemala,GUA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 100 metres Freestyle,
10468,5721,Silvana Asturias Morel,F,15.0,154.0,55.0,Guatemala,GUA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 200 metres Freestyle,
10469,5721,Silvana Asturias Morel,F,15.0,154.0,55.0,Guatemala,GUA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 400 metres Freestyle,
10470,5721,Silvana Asturias Morel,F,15.0,154.0,55.0,Guatemala,GUA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 800 metres Freestyle,
10625,5812,Tracey Ann Atkin,F,17.0,170.0,57.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 800 metres Freestyle,
10626,5812,Tracey Ann Atkin,F,17.0,170.0,57.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 400 metres Individual Medley,
10637,5817,Alia Shanee Atkinson,F,15.0,172.0,71.0,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,
10638,5817,Alia Shanee Atkinson,F,15.0,172.0,71.0,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Breaststroke,
10639,5817,Alia Shanee Atkinson,F,19.0,172.0,71.0,Jamaica,JAM,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Breaststroke,
