,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
28812,14921,Karine Brmond (-Loureiro),F,21.0,174.0,58.0,France,FRA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Breaststroke,
28813,14921,Karine Brmond (-Loureiro),F,21.0,174.0,58.0,France,FRA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
28814,14921,Karine Brmond (-Loureiro),F,25.0,174.0,58.0,France,FRA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Breaststroke,
28826,14928,Daniela Brendel,F,18.0,185.0,69.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Breaststroke,
28827,14928,Daniela Brendel,F,18.0,185.0,69.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Breaststroke,
28828,14928,Daniela Brendel,F,18.0,185.0,69.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
28971,14985,Rosalind Jane Brett,F,21.0,171.0,59.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
29026,15015,"Elizabeth Evadna ""Betty"" Brey (Mullen-)",F,24.0,165.0,59.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
29123,15051,Erika Eloise Bricker (-Holderith),F,15.0,175.0,64.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
29138,15061,Alice W. Bridges (-Roche),F,20.0,,,United States,USA,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 100 metres Backstroke,Bronze
29161,15073,Karin Brienesse,F,19.0,181.0,73.0,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 50 metres Freestyle,
29162,15073,Karin Brienesse,F,19.0,181.0,73.0,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Freestyle,
29163,15073,Karin Brienesse,F,19.0,181.0,73.0,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Freestyle,
29164,15073,Karin Brienesse,F,19.0,181.0,73.0,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
29165,15073,Karin Brienesse,F,19.0,181.0,73.0,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
29166,15073,Karin Brienesse,F,23.0,181.0,73.0,Netherlands,NED,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Freestyle,
29167,15073,Karin Brienesse,F,23.0,181.0,73.0,Netherlands,NED,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
29168,15073,Karin Brienesse,F,23.0,181.0,73.0,Netherlands,NED,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Butterfly,
29169,15073,Karin Brienesse,F,27.0,181.0,73.0,Netherlands,NED,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Freestyle,
29170,15073,Karin Brienesse,F,27.0,181.0,73.0,Netherlands,NED,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
29171,15073,Karin Brienesse,F,27.0,181.0,73.0,Netherlands,NED,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
29172,15073,Karin Brienesse,F,27.0,181.0,73.0,Netherlands,NED,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
29219,15100,Enith Sijtje Maria Brigitha (-Salle),F,17.0,174.0,67.0,Netherlands,NED,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Freestyle,
29220,15100,Enith Sijtje Maria Brigitha (-Salle),F,17.0,174.0,67.0,Netherlands,NED,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
29221,15100,Enith Sijtje Maria Brigitha (-Salle),F,17.0,174.0,67.0,Netherlands,NED,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Backstroke,
29222,15100,Enith Sijtje Maria Brigitha (-Salle),F,17.0,174.0,67.0,Netherlands,NED,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Backstroke,
29223,15100,Enith Sijtje Maria Brigitha (-Salle),F,17.0,174.0,67.0,Netherlands,NED,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
29224,15100,Enith Sijtje Maria Brigitha (-Salle),F,21.0,174.0,67.0,Netherlands,NED,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Freestyle,Bronze
29225,15100,Enith Sijtje Maria Brigitha (-Salle),F,21.0,174.0,67.0,Netherlands,NED,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 200 metres Freestyle,Bronze
29226,15100,Enith Sijtje Maria Brigitha (-Salle),F,21.0,174.0,67.0,Netherlands,NED,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
29227,15100,Enith Sijtje Maria Brigitha (-Salle),F,21.0,174.0,67.0,Netherlands,NED,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Backstroke,
29228,15100,Enith Sijtje Maria Brigitha (-Salle),F,21.0,174.0,67.0,Netherlands,NED,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
29376,15167,Vronique Brisy,F,15.0,164.0,54.0,Belgium,BEL,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Breaststroke,
29377,15167,Vronique Brisy,F,15.0,164.0,54.0,Belgium,BEL,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 200 metres Breaststroke,
29455,15210,Sarah Bro,F,20.0,177.0,64.0,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
29474,15222,Mariana Nery Brochado,F,19.0,174.0,62.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Freestyle,
29475,15222,Mariana Nery Brochado,F,19.0,174.0,62.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
29739,15352,Carole Brook (-Massarotti),F,15.0,172.0,60.0,Switzerland,SUI,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Butterfly,
29740,15352,Carole Brook (-Massarotti),F,15.0,172.0,60.0,Switzerland,SUI,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Butterfly,
29741,15352,Carole Brook (-Massarotti),F,19.0,172.0,60.0,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Butterfly,
29742,15352,Carole Brook (-Massarotti),F,19.0,172.0,60.0,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Butterfly,
29743,15352,Carole Brook (-Massarotti),F,19.0,172.0,60.0,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
29991,15481,Celeste Brown,F,17.0,168.0,71.0,Cook Islands,COK,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,
30097,15536,Jacqueline Elizabeth Brown,F,15.0,167.0,52.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 100 metres Backstroke,
30098,15536,Jacqueline Elizabeth Brown,F,15.0,167.0,52.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 200 metres Backstroke,
30099,15536,Jacqueline Elizabeth Brown,F,19.0,167.0,52.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Backstroke,
30157,15568,Moira Catherine Brown,F,19.0,171.0,67.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Butterfly,
30167,15574,Rebecca Kate Brown,F,23.0,177.0,62.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Breaststroke,
30177,15581,"Rosemary Edith Brown (-Alexander, -Fydler)",F,19.0,173.0,62.0,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Freestyle,
30178,15581,"Rosemary Edith Brown (-Alexander, -Fydler)",F,19.0,173.0,62.0,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Freestyle,
30179,15581,"Rosemary Edith Brown (-Alexander, -Fydler)",F,19.0,173.0,62.0,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 400 metres Freestyle,
30180,15581,"Rosemary Edith Brown (-Alexander, -Fydler)",F,19.0,173.0,62.0,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 800 metres Freestyle,
30181,15581,"Rosemary Edith Brown (-Alexander, -Fydler)",F,19.0,173.0,62.0,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
30182,15581,"Rosemary Edith Brown (-Alexander, -Fydler)",F,19.0,173.0,62.0,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
30272,15633,"Susannah Claire ""Suki"" Brownsdon",F,14.0,168.0,57.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Breaststroke,
30273,15633,"Susannah Claire ""Suki"" Brownsdon",F,18.0,168.0,57.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Breaststroke,
30274,15633,"Susannah Claire ""Suki"" Brownsdon",F,22.0,168.0,57.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Breaststroke,
30275,15633,"Susannah Claire ""Suki"" Brownsdon",F,22.0,168.0,57.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Breaststroke,
30276,15633,"Susannah Claire ""Suki"" Brownsdon",F,22.0,168.0,57.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 400 metres Individual Medley,
30277,15633,"Susannah Claire ""Suki"" Brownsdon",F,22.0,168.0,57.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
30278,15633,"Susannah Claire ""Suki"" Brownsdon",F,26.0,168.0,57.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Breaststroke,
30279,15633,"Susannah Claire ""Suki"" Brownsdon",F,26.0,168.0,57.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Breaststroke,
30280,15633,"Susannah Claire ""Suki"" Brownsdon",F,26.0,168.0,57.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
30322,15655,Caroline Cadman Bruce (-McAndrew),F,18.0,172.0,67.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Breaststroke,
30337,15665,Tami Lee Bruce (-Armstrong),F,21.0,170.0,62.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 400 metres Freestyle,
30338,15665,Tami Lee Bruce (-Armstrong),F,21.0,170.0,62.0,United States,USA,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 800 metres Freestyle,
30416,15692,Magda Bruggemann Schmidt,F,18.0,,,Mexico,MEX,1948 Summer,1948,Summer,London,Swimming,Swimming Women's 100 metres Freestyle,
30417,15692,Magda Bruggemann Schmidt,F,18.0,,,Mexico,MEX,1948 Summer,1948,Summer,London,Swimming,Swimming Women's 400 metres Freestyle,
30418,15692,Magda Bruggemann Schmidt,F,18.0,,,Mexico,MEX,1948 Summer,1948,Summer,London,Swimming,Swimming Women's 100 metres Backstroke,
30460,15710,Annika Bruhn,F,19.0,183.0,69.0,Germany,GER,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
30461,15710,Annika Bruhn,F,23.0,183.0,69.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle,
30462,15710,Annika Bruhn,F,23.0,183.0,69.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
30463,15710,Annika Bruhn,F,23.0,183.0,69.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
30479,15715,"Henderika ""Rika"" Bruins (-Griep)",F,18.0,,,Netherlands,NED,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Women's 200 metres Breaststroke,
30483,15719,Jill Brukman,F,19.0,,,South Africa,RSA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Backstroke,
30484,15719,Jill Brukman,F,19.0,,,South Africa,RSA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Backstroke,
30485,15719,Jill Brukman,F,19.0,,,South Africa,RSA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Individual Medley,
30486,15719,Jill Brukman,F,19.0,,,South Africa,RSA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 400 metres Individual Medley,
30487,15719,Jill Brukman,F,19.0,,,South Africa,RSA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
30497,15723,Patricia Brlhart (-N'Dula),F,16.0,164.0,67.0,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Breaststroke,
30498,15723,Patricia Brlhart (-N'Dula),F,16.0,164.0,67.0,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
30499,15723,Patricia Brlhart (-N'Dula),F,20.0,164.0,67.0,Switzerland,SUI,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Breaststroke,
30500,15723,Patricia Brlhart (-N'Dula),F,20.0,164.0,67.0,Switzerland,SUI,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Breaststroke,
30644,15788,Rachele Bruni,F,25.0,170.0,59.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 10 kilometres Open Water,Silver
30708,15816,"Ursula ""Ursel"" Brunner (-Wirth)",F,19.0,165.0,55.0,Germany,GER,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 100 metres Freestyle,
30709,15816,"Ursula ""Ursel"" Brunner (-Wirth)",F,19.0,165.0,55.0,Germany,GER,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 400 metres Freestyle,
30710,15816,"Ursula ""Ursel"" Brunner (-Wirth)",F,19.0,165.0,55.0,Germany,GER,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
30711,15816,"Ursula ""Ursel"" Brunner (-Wirth)",F,19.0,165.0,55.0,Germany,GER,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
30712,15816,"Ursula ""Ursel"" Brunner (-Wirth)",F,23.0,165.0,55.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 100 metres Butterfly,
30727,15825,Justine Bruno,F,18.0,174.0,63.0,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Butterfly,
30728,15825,Justine Bruno,F,18.0,174.0,63.0,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
30784,15858,Marlene Bruten Durst,F,19.0,166.0,60.0,Mexico,MEX,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Butterfly,
30785,15858,Marlene Bruten Durst,F,19.0,166.0,60.0,Mexico,MEX,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Butterfly,
30786,15858,Marlene Bruten Durst,F,19.0,166.0,60.0,Mexico,MEX,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Individual Medley,
30787,15858,Marlene Bruten Durst,F,19.0,166.0,60.0,Mexico,MEX,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 400 metres Individual Medley,
30973,15948,Dorota Brzozowska,F,15.0,171.0,57.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Butterfly,
30974,15948,Dorota Brzozowska,F,15.0,171.0,57.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Butterfly,
31000,15962,Matelita Buadromo,F,16.0,171.0,56.0,Fiji,FIJ,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Breaststroke,
31001,15962,Matelita Buadromo,F,20.0,171.0,56.0,Fiji,FIJ,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle,
31386,16137,Siri Arun Budcharern,F,14.0,166.0,63.0,Laos,LAO,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,
31539,16206,Mariya Bugakova,F,15.0,169.0,53.0,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Butterfly,
31540,16206,Mariya Bugakova,F,19.0,169.0,53.0,Uzbekistan,UZB,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Butterfly,
31541,16206,Mariya Bugakova,F,23.0,169.0,53.0,Uzbekistan,UZB,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,
31777,16320,Mariya Alekseyevna Bulakhova,F,15.0,170.0,51.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Butterfly,
31779,16322,Ratchaneewan Bulakul,F,13.0,165.0,44.0,Thailand,THA,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Freestyle,
31780,16322,Ratchaneewan Bulakul,F,13.0,165.0,44.0,Thailand,THA,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 200 metres Freestyle,
31781,16322,Ratchaneewan Bulakul,F,13.0,165.0,44.0,Thailand,THA,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 400 metres Freestyle,
31910,16396,Neville Frances Bult (-Vorrath),F,19.0,163.0,,Australia,AUS,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Freestyle,
31911,16396,Neville Frances Bult (-Vorrath),F,19.0,163.0,,Australia,AUS,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Women's 400 metres Freestyle,
31913,16398,Kira Bulten,F,19.0,170.0,52.0,Netherlands,NED,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Breaststroke,
31914,16398,Kira Bulten,F,19.0,170.0,52.0,Netherlands,NED,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Breaststroke,
31915,16398,Kira Bulten,F,19.0,170.0,52.0,Netherlands,NED,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
31949,16416,Carmen Bunaciu,F,18.0,191.0,78.0,Romania,ROU,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Backstroke,
31950,16416,Carmen Bunaciu,F,18.0,191.0,78.0,Romania,ROU,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Backstroke,
31951,16416,Carmen Bunaciu,F,18.0,191.0,78.0,Romania,ROU,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
31952,16416,Carmen Bunaciu,F,22.0,191.0,78.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Backstroke,
31953,16416,Carmen Bunaciu,F,22.0,191.0,78.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Backstroke,
31990,16440,Hansje Bunschoten,F,14.0,,,Netherlands,NED,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Freestyle,
31991,16440,Hansje Bunschoten,F,14.0,,,Netherlands,NED,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Freestyle,
31992,16440,Hansje Bunschoten,F,14.0,,,Netherlands,NED,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 400 metres Freestyle,
31993,16440,Hansje Bunschoten,F,14.0,,,Netherlands,NED,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 800 metres Freestyle,
31994,16440,Hansje Bunschoten,F,14.0,,,Netherlands,NED,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
31995,16440,Hansje Bunschoten,F,14.0,,,Netherlands,NED,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
32048,16479,Caroline Stillwell Burckle,F,22.0,174.0,62.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
32051,16482,Izabela Joanna Burczyk,F,24.0,176.0,62.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Backstroke,
32143,16523,Sheridan Christina Burge-Lopez,F,18.0,173.0,66.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Freestyle,
32144,16523,Sheridan Christina Burge-Lopez,F,18.0,173.0,66.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 400 metres Freestyle,
32235,16572,Renata de Oliveira Burgos,F,22.0,169.0,65.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
32311,16611,Lynn Edythe Burke (-McConville),F,17.0,173.0,61.0,United States,USA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 100 metres Backstroke,Gold
32312,16611,Lynn Edythe Burke (-McConville),F,17.0,173.0,61.0,United States,USA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
32372,16637,Lucy Burle Kalache,F,17.0,172.0,63.0,Brazil,BRA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Freestyle,
32373,16637,Lucy Burle Kalache,F,17.0,172.0,63.0,Brazil,BRA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Freestyle,
32458,16684,Helen Blanche May Burnham (-Hall),F,20.0,173.0,68.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Breaststroke,
32530,16724,Wendy Burrell,F,16.0,165.0,54.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 100 metres Backstroke,
32531,16724,Wendy Burrell,F,16.0,165.0,54.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 200 metres Backstroke,
32532,16724,Wendy Burrell,F,16.0,165.0,54.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
32693,16816,Antje Buschschulte (-Meeuw),F,17.0,186.0,75.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
32694,16816,Antje Buschschulte (-Meeuw),F,17.0,186.0,75.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Backstroke,
32695,16816,Antje Buschschulte (-Meeuw),F,17.0,186.0,75.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
32696,16816,Antje Buschschulte (-Meeuw),F,21.0,186.0,75.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
32697,16816,Antje Buschschulte (-Meeuw),F,21.0,186.0,75.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
32698,16816,Antje Buschschulte (-Meeuw),F,21.0,186.0,75.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Backstroke,
32699,16816,Antje Buschschulte (-Meeuw),F,21.0,186.0,75.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Backstroke,
32700,16816,Antje Buschschulte (-Meeuw),F,21.0,186.0,75.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
32701,16816,Antje Buschschulte (-Meeuw),F,25.0,186.0,75.0,Germany,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
32702,16816,Antje Buschschulte (-Meeuw),F,25.0,186.0,75.0,Germany,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
32703,16816,Antje Buschschulte (-Meeuw),F,25.0,186.0,75.0,Germany,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Backstroke,
32704,16816,Antje Buschschulte (-Meeuw),F,25.0,186.0,75.0,Germany,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Backstroke,Bronze
32705,16816,Antje Buschschulte (-Meeuw),F,25.0,186.0,75.0,Germany,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
32706,16816,Antje Buschschulte (-Meeuw),F,29.0,186.0,75.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
32707,16816,Antje Buschschulte (-Meeuw),F,29.0,186.0,75.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Backstroke,
32708,16816,Antje Buschschulte (-Meeuw),F,29.0,186.0,75.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
32859,16895,"Jacobje Jantje ""Cobie"" Buter (-Bolman)",F,22.0,178.0,63.0,Netherlands,NED,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 100 metres Backstroke,
32860,16895,"Jacobje Jantje ""Cobie"" Buter (-Bolman)",F,22.0,178.0,63.0,Netherlands,NED,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
32904,16926,Lara Butler,F,21.0,172.0,60.0,Cayman Islands,CAY,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Backstroke,
32979,16970,"Jennifer ""Jen"" Button",F,22.0,163.0,55.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
32980,16970,"Jennifer ""Jen"" Button",F,22.0,163.0,55.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Butterfly,
